t,h,y,y_potential,y_autonomous,r_expected,r_cb,r_natural,pi,pi_expected,pi_long_run,pi_target,gamma,theta,alpha,phi_pi,phi_y,chi,eta
64,5.087041898832467e-13,1.000909090909512,1.0009090909090033,1.11,0.05454545454524401,0.05454545454503064,0.05454545454549842,0.03500000000026943,0.03500000000014225,0.03500000000003845,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
65,3.566036355096003e-13,1.0009090909093854,1.0009090909090288,1.11,0.05454545454530734,0.054545454545157815,0.05454545454548565,0.03500000000018884,0.03500000000009969,0.03500000000002695,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
66,2.5002222514558525e-13,1.0009090909092966,1.0009090909090466,1.11,0.05454545454535178,0.054545454545246966,0.05454545454547677,0.035000000000132384,0.03500000000006988,0.03500000000001889,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
67,1.751931932858497e-13,1.0009090909092342,1.000909090909059,1.11,0.05454545454538294,0.05454545454530947,0.05454545454547055,0.03500000000009278,0.035000000000048985,0.03500000000001324,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
68,1.2279066652354231e-13,1.0009090909091904,1.0009090909090677,1.11,0.05454545454540477,0.05454545454535327,0.05454545454546622,0.035000000000065035,0.03500000000003434,0.03500000000000929,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
69,8.615330671091215e-14,1.00090909090916,1.0009090909090739,1.11,0.05454545454542006,0.05454545454538397,0.05454545454546311,0.035000000000045606,0.03500000000002407,0.03500000000000651,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
70,6.039613253960852e-14,1.0009090909091385,1.000909090909078,1.11,0.05454545454543082,0.054545454545405506,0.054545454545461,0.03500000000003198,0.03500000000001688,0.03500000000000457,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
71,4.241051954068098e-14,1.0009090909091234,1.000909090909081,1.11,0.054545454545438354,0.054545454545420605,0.05454545454545956,0.03500000000002244,0.035000000000011834,0.0350000000000032,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
72,2.9753977059954195e-14,1.0009090909091127,1.000909090909083,1.11,0.05454545454544367,0.05454545454543121,0.05454545454545856,0.03500000000001575,0.03500000000000831,0.03500000000000225,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
73,2.0872192862952943e-14,1.0009090909091054,1.0009090909090845,1.11,0.05454545454544739,0.054545454545438646,0.05454545454545778,0.03500000000001105,0.03500000000000583,0.035000000000001585,0.035,2,0.3,0.25,1.5,0.25,0.1,0.05
